"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 21 23:22:58 ICT 2021","Wed Jul 21 23:23:01 ICT 2021","2850","","","","","","Registration with valid data",""
"passed","Wed Jul 21 23:23:01 ICT 2021","Wed Jul 21 23:23:01 ICT 2021","384","","","","","","Registration with duplicate username data",""
